rarity,card_type,subtype,color,cmc,power,toughness,mana_cost
common,Sorcery,none,colorless,2,,,{2}
uncommon,Creature,Vampire,B,1,1.0,1.0,{B}
uncommon,Creature,Vampire,G,1,2.0,1.0,{G}
common,Land,none,colorless,0,,,{0}
common,Sorcery,none,colorless,3,,,{3}
uncommon,Creature,Spirit,W,2,2.0,2.0,{1}{W}
common,Enchantment,none,U,2,,,{1}{U}
uncommon,Creature,Cat,G,3,5.0,2.0,{G}{G}{G}
mythic,Creature,Other,G,1,2.0,1.0,{G}
uncommon,Creature,Rat,UB,6,4.0,8.0,{3}{U}{U}{B}
mythic,Creature,Dinosaur,RG,3,3.0,3.0,{1}{R}{G}
common,Land,Other,colorless,0,,,{0}
rare,Enchantment,none,R,3,,,{2}{R}
uncommon,Instant,none,U,5,,,{3}{U}{U}
rare,Sorcery,Equipment,BG,5,,,{3}{B}{G}
uncommon,Creature,Human,W,3,3.0,4.0,{2}{W}
uncommon,Instant,none,WR,4,,,{2}{W}{R}
common,Creature,Demon,B,2,2.0,2.0,{B}{B}
uncommon,Creature,Vampire,B,6,5.0,5.0,{4}{B}{B}
uncommon,Creature,Clue,UB,10,7.0,7.0,{8}{U}{B}
mythic,Creature,Elemental,RG,7,7.0,5.0,{4}{R}{G}{G}
common,Artifact,Vehicle,WB,5,2.0,4.0,{3}{W}{B}
rare,Planeswalker,Room,WU,5,,,{2}{W}{U}{U}
uncommon,Creature,Zombie,G,2,3.0,1.0,{G}{G}
common,Creature,Elemental,B,6,6.0,5.0,{5}{B}
rare,Creature,Rabbit,colorless,3,1.0,2.0,{3}
common,Creature,Other,B,4,2.0,4.0,{3}{B}
common,Creature,Human,B,4,2.0,3.0,{2}{B}{B}
uncommon,Creature,Angel,W,3,7.0,1.0,{2}{W}
uncommon,Sorcery,Room,G,3,,,{2}{G}
mythic,Creature,Elemental,WUR,10,10.0,7.0,{4}{W}{W}{W}{U}{R}{R}
rare,Enchantment,Aura,U,5,,,{4}{U}
uncommon,Instant,none,WB,4,,,{1}{W}{W}{B}
uncommon,Enchantment,none,colorless,1,,,{1}
uncommon,Enchantment,Aura,U,3,,,{2}{U}
uncommon,Creature,Other,U,1,0.0,1.0,{U}
uncommon,Creature,Other,G,1,2.0,1.0,{G}
common,Creature,Mouse,B,5,4.0,3.0,{4}{B}
mythic,Instant,none,U,6,,,{4}{U}{U}
common,Creature,Beast,B,4,3.0,3.0,{3}{B}
mythic,Artifact,Vehicle,UR,8,12.0,8.0,{6}{U}{R}
common,Creature,Dragon,R,5,5.0,4.0,{3}{R}{R}
common,Creature,Golem,colorless,4,3.0,4.0,{4}
common,Creature,Bat,R,7,6.0,5.0,{5}{R}{R}
mythic,Artifact,Class,colorless,1,,,{1}
